alg,puzzle_size,f%,ants,subcolonies,q0,rho,bve,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm,cp_initial_mean,cp_ant_mean,ant_guessing_mean,coop_game_mean,pheromone_fusion_mean,public_path_mean,communication_time_mean,cp_total_mean,cp_percentage
3,16x16_02475,,3,4,0.9,0.9,0.005,20.0,100.0,0.03041,0.03533,7.46,,,0.000846,0.020168,5.9e-05,0.000399,0.0,3.1e-05,,0.021013999999999998,69.1
3,16x16_02477,,3,4,0.9,0.9,0.005,20.0,100.0,0.03729,0.12094,9.38,,,0.000874,0.025001,6.3e-05,0.000509,0.0,3.4e-05,,0.025875,69.39
3,16x16_02478,,3,4,0.9,0.9,0.005,20.0,100.0,0.02496,0.01761,6.28,,,0.000867,0.016447,4.8e-05,0.000335,0.0,3e-05,,0.017314,69.37
3,16x16_02483,,3,4,0.9,0.9,0.005,20.0,100.0,0.1056,0.17159,27.63,,,0.000832,0.071135,0.000175,0.001478,0.0,8.6e-05,,0.071967,68.15
3,16x16_02491,,3,4,0.9,0.9,0.005,20.0,100.0,0.0266,0.02029,7.58,,,0.00091,0.0174,4.9e-05,0.000407,0.0,3.4e-05,,0.01831,68.83
3,16x16_02507,,3,4,0.9,0.9,0.005,20.0,100.0,0.05169,0.06462,13.6,,,0.00091,0.034441,9.3e-05,0.000747,0.0,5.5e-05,,0.035351,68.39
3,16x16_02522,,3,4,0.9,0.9,0.005,20.0,100.0,0.47905,0.55735,108.96,,,0.000764,0.336188,0.000801,0.005654,0.0,0.000355,,0.336952,70.34
3,16x16_02525,,3,4,0.9,0.9,0.005,20.0,98.0,1.51821,3.10437,353.66,,,0.000785,0.84786,0.003225,0.018074,0.0,0.00143,,0.848645,55.9
3,16x16_02526,,3,4,0.9,0.9,0.005,20.0,100.0,0.32888,0.53232,78.25,,,0.000768,0.228501,0.00067,0.00403,0.0,0.00026,,0.229269,69.71
3,16x16_02534,,3,4,0.9,0.9,0.005,20.0,100.0,0.01981,0.01453,5.71,,,0.000975,0.012617,3.9e-05,0.000305,0.0,2.5e-05,,0.013592,68.61
3,16x16_02536,,3,4,0.9,0.9,0.005,20.0,100.0,0.02234,0.01568,5.97,,,0.000981,0.014427,4.3e-05,0.000336,0.0,2.8e-05,,0.015408000000000002,68.97
3,16x16_02544,,3,4,0.9,0.9,0.005,20.0,100.0,0.03414,0.03172,7.44,,,0.000838,0.023064,5.8e-05,0.000399,0.0,3.2e-05,,0.023902,70.01
3,16x16_02558,,3,4,0.9,0.9,0.005,20.0,100.0,0.07879,0.18272,25.55,,,0.000909,0.052014,0.000157,0.001356,0.0,8.2e-05,,0.052923,67.17
3,16x16_02561,,3,4,0.9,0.9,0.005,20.0,100.0,0.03223,0.03466,8.24,,,0.000888,0.021397,6.4e-05,0.000445,0.0,3.7e-05,,0.022285,69.14
3,16x16_02563,,3,4,0.9,0.9,0.005,20.0,100.0,0.06762,0.35192,16.9,,,0.000849,0.045522,0.000105,0.000891,0.0,4.8e-05,,0.046371,68.58
